formula,aic,rSquare,warn
route ~ + children + flowRate + income + lights + origin,21.42264397,0.81631,
route ~ + lights + sex,38.46301514,0.36715,
route ~ + age + children + distance + origin + seatBelts,26.48341331,0.71765,
route ~ + age + distance + maritalStatus + passengers + travelTime,23.91485925,0.76773,
route ~ + children + distance + modelYear + seatBelts + sex,27.53988656,0.69706,
route ~ + age + modelYear,49.64564039,0.14915,
route ~ + flowRate + lights + maritalStatus + passengers + travelTime,20.10161987,0.84206,
route ~ + distance + maritalStatus + modelYear + seatBelts + travelTime,28.57231135,0.67693,
route ~ + children + flowRate + modelYear + seatBelts,23.28784368,0.74096,
route ~ + distance + income + maritalStatus + modelYear + travelTime,28.63172279,0.67577,
route ~ + flowRate + lights + passengers,19.25849548,0.78052,
route ~ + children + distance + income + seatBelts + sex,30.04259715,0.64827,
route ~ + age + distance + maritalStatus + passengers + sex,23.05638169,0.78446,
route ~ + children + flowRate + income + lights + travelTime,20.23519046,0.83946,
route ~ + age + children + distance + maritalStatus + travelTime,25.08336727,0.74495,
route ~ + distance + modelYear + origin + seatBelts + travelTime,28.8303213,0.6719,
route ~ + distance + modelYear + passengers + sex + travelTime,26.50318887,0.71727,
route ~ + flowRate + lights + origin + passengers,20.27020601,0.79979,
route ~ + flowRate + origin + seatBelts + travelTime,23.10924983,0.74444,
route ~ + age + lights + modelYear + origin,36.93978992,0.47482,
route ~ + income + lights + modelYear + origin + travelTime,39.15853403,0.47056,
route ~ + distance + modelYear + seatBelts,26.98632138,0.62987,
route ~ + age + distance + income + modelYear + passengers,26.17566783,0.72365,
route ~ + children + distance + income + maritalStatus + origin,30.20625477,0.64508,
route ~ + age + distance + passengers + seatBelts + sex,23.21412449,0.78139,
route ~ + children + flowRate + lights + maritalStatus + sex,21.22727587,0.82012,
route ~ + flowRate + maritalStatus + origin + passengers + travelTime,23.70814725,0.77176,
route ~ + children + distance + income + maritalStatus + sex,30.05270079,0.64807,
route ~ + flowRate + lights + maritalStatus + passengers + sex,21.23075084,0.82005,
route ~ + age + distance + passengers + sex + travelTime,22.33508137,0.79852,
route ~ + income + lights + modelYear + travelTime,38.07410958,0.45271,
route ~ + distance + maritalStatus + origin + seatBelts + sex,28.91608887,0.67023,
route ~ + flowRate + income + modelYear,21.90779734,0.72888,
route ~ + children + distance + maritalStatus + modelYear + travelTime,28.6590643,0.67524,
route ~ + distance + modelYear + passengers + sex,25.91944738,0.68966,
route ~ + age + income + lights + modelYear + seatBelts,37.70686809,0.49886,
route ~ + children + flowRate + origin + sex,25.21563359,0.70338,
route ~ + distance + income + modelYear,27.01895509,0.62924,
route ~ + age + distance + origin + passengers + sex,22.9035422,0.78744,
route ~ + children + flowRate + origin + sex + travelTime,24.60225645,0.75433,
route ~ + age + distance + origin + seatBelts + travelTime,26.24456876,0.72231,
route ~ + lights + modelYear + passengers + sex + travelTime,35.32349424,0.54532,
route ~ + age + lights + modelYear + passengers + sex,34.83402227,0.55486,
route ~ + income + lights + modelYear + origin,38.20543899,0.45015,
route ~ + age + distance + income + seatBelts + sex,23.651598,0.77286,
route ~ + children + flowRate + lights + origin + passengers,21.45434444,0.81569,
route ~ + lights + modelYear + origin + seatBelts + sex,36.3615864,0.52508,
route ~ + children + flowRate + origin + travelTime,23.11448771,0.74434,
route ~ + flowRate + origin + seatBelts + sex + travelTime,24.60477887,0.75428,
route ~ + flowRate + origin + passengers + travelTime,23.10394422,0.74455,
route ~ + age + distance + modelYear + origin,26.08891973,0.68636,
route ~ + flowRate + income + lights + passengers + travelTime,20.28029607,0.83858,
route ~ + distance + income + origin + travelTime,29.61145501,0.61769,
route ~ + children + flowRate + lights + maritalStatus,20.71243862,0.79117,
route ~ + distance + maritalStatus + modelYear + passengers + travelTime,27.35951099,0.70057,
route ~ + flowRate + income + maritalStatus + origin + travelTime,23.70871719,0.77174,
route ~ + income + lights + modelYear + sex + travelTime,36.37176884,0.52489,
